source,Year,Month,Day,Hour,Latitude,Longitude,Distance_Km,TB_18V,TB_18H,TB_23V,TB_23H,TB_36V,TB_36H,TB_89V,TB_89H,Snow_Depth_m,Ice_Thickness_m,Mean_Freeboard_m,Surface_Roughness,KT19_Surface_Temp,MY_Ice_Fraction,SMOS_Product_Snow_Depth_m,SMOS_Product_Match_Distance_Km,SMOS_Product_File
icebridge,2013,3,21,NaN,71.7939758300781,-153.890579223633,NaN,254,236.5,252.8,236.9,247.3,233.2,227.7,214.9,0.08125,0.8866,0.150225,0.18108025,-24.02,0,0.19,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,71.9004974365234,-154.007888793945,NaN,253.4,235.4,252,236,247,231.9,227.3,214,0.0698888888888889,0.576088888888889,0.109377777777778,0.140226555555556,-25.2888888888889,0,0.19,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.2197952270508,-154.368408203125,NaN,251.8,231.3,250.7,231.9,244.5,228.7,222.9,212.3,0.163,1.1562,0.235142857142857,0.244632428571429,-23.7057142857143,0,0.21,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.3261260986328,-154.491516113281,NaN,251.5,230.2,250.5,231.1,244.5,228.9,224.6,213.5,0.131545454545455,1.28140909090909,0.226836363636364,0.159952909090909,-25.9609090909091,0,0.21,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.4324111938477,-154.616134643555,NaN,251.2,228.6,249.8,229.4,242.4,224.6,216.6,204.1,0.0814347826086956,0.990360869565217,0.161395652173913,0.107897304347826,-25.8821739130435,0,0.22,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.5386428833008,-154.742294311523,NaN,250.8,228.3,249.4,229.3,242.7,225.3,218.4,205.9,0.073390243902439,1.41453658536585,0.201031707317073,0.112535292682927,-26.9439024390244,0,0.21,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.6448135375977,-154.870040893555,NaN,250.3,228.6,249.1,230,243.5,227.1,223,211.4,0.0610588235294118,1.32876470588235,0.183423529411765,0.129313411764706,-27.3552941176471,0,0.2,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.7509307861328,-154.999359130859,NaN,250,229,249.2,230.9,244.6,229.3,227.2,215.9,0.069675,1.2169025,0.1774325,0.125992075,-25.23025,0,0.19,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.8569869995117,-155.130310058594,NaN,249.9,228.9,248.9,230.3,244.2,228.7,225.9,214.6,0.07125,1.68405,0.22825,0.063868125,-27.06625,0,0.19,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
icebridge,2013,3,21,NaN,72.8955154418945,-154.769989013672,NaN,250,229.7,249.1,231.3,244.1,229.4,226.3,215.3,0.0638166666666667,2.47504833333333,0.307328333333333,0.132330133333333,-26.5336666666667,0,0.19,0,AMSR_U2_L3_SeaIce12km_B04_20130321.he5
