feature,importance
TB_23V,0.1105771767983215
TB_18V,0.09527430074966281
GR_36V_18V,0.07243497422406406
PM_POL_DIFF_CHANGE,0.06192895455418809
TB_36V,0.048335773467574256
PM_LOW_FREQ_MEAN,0.04442045954689475
PR_89,0.040235726568700364
TB_36H,0.03884625560944362
PR_36,0.038440664261063316
PM_SPECTRAL_SLOPE_H,0.03537516423878364
TB_23H,0.033416744639294005
PM_POL_DIFF_HIGH,0.03209873315568447
PR_18,0.03163167622798339
TB_89H,0.029204249642138788
TB_89V,0.028759407224023335
PR_23,0.0271646658758902
PM_POL_DIFF_LOW,0.026631658924133137
PM_LOW_HIGH_DIFF,0.024938924984033668
TB_18H,0.02459950605507547
PM_MEAN_GR,0.023820799135459383
PM_SPECTRAL_SLOPE_V,0.022863946823880776
GR_89V_18V,0.02268094707946937
PM_HIGH_FREQ_MEAN,0.022512178535470353
PM_DEPTH_SENSITIVITY,0.021471699231859594
PM_MEAN_PR,0.02135743088933438
PM_LOW_HIGH_RATIO,0.020977981557573182
