buoy,n_test,rmse_m,mae_m,r2,snow_depth_mean_m
2015C,27,0.08662850525465346,0.06521733411792038,-113.93233163058565,0.18296296296296294
2015A,525,0.08721011948976311,0.058388369927241925,-2.5379120949054377,0.15925129908850835
2015B,442,0.08785726612234233,0.08380639023065636,-19.10289261832554,0.06372800402212168
2015J,3130,0.09672197267608415,0.07424219650668978,-0.8540701743834822,0.2078943011525066
2015I,107,0.11470401964737087,0.11373410200343617,-363.6844630751141,0.03193666902129892
2014E,1232,0.13758776568879108,0.11874809738173621,0.028728534974607034,0.27980113636363635
2014F,1685,0.14247390538579446,0.11983144266916486,-4.368204760394531,0.1089057489632674
2014D,631,0.14668690652730834,0.13890089290316843,-9.27590530851677,0.3256818009273281
2015E,286,0.1611008511119471,0.1447913228494344,-1.7342694759964088,0.21545454545454548
2015G,946,0.1771569907065164,0.12707223405994075,-60.23472873081514,0.18548436000906654
2014B,538,0.19101926278462564,0.18503784696497916,-35.48540455727242,0.07299256505576207
2014C,669,0.2667608914281213,0.21997443383818313,-2.010515465704711,0.3321674140508222
2015D,1041,0.39232976833060557,0.26463242167988765,-0.07711755296715839,0.34988962668613327
