comparison,product_id,method_id,method,n,rmse_m,mae_m,bias_m,r2
common_valid_points,amsr_smos,model,RF model,336,0.04749225365708578,0.022366745917111994,0.0025101493291202477,0.9118156089599234
common_valid_points,amsr_smos,amsr_smos,AMSR/SMOS product,336,0.17209870110568368,0.10851993796136272,0.03695563334149835,-0.1579807714993744
grid_aggregated_0.25deg,amsr_smos,model,RF model,38,0.019291751931989103,0.008629570280151733,0.0004929194497579099,0.9543274860363983
grid_aggregated_0.25deg,amsr_smos,amsr_smos,AMSR/SMOS product,38,0.09769747874426297,0.08356602922434213,0.021543997991879664,-0.17132737133285514
common_valid_points,ecco_icecovered,model,RF model,1944,0.05228108323747652,0.027779265989519422,0.001516770975303005,0.8595534398455869
common_valid_points,ecco_icecovered,ecco_icecovered,ECCO ice-covered,1944,0.1748757637981341,0.12652005182721587,0.004678727904407454,-0.5713799259556809
grid_aggregated_0.5deg,ecco_icecovered,model,RF model,237,0.03286262737534642,0.014257709986451941,0.003677219204412878,0.9333829094129057
grid_aggregated_0.5deg,ecco_icecovered,ecco_icecovered,ECCO ice-covered,237,0.17526618098978936,0.12585584996291663,-0.0353808338505918,-0.8948609415061781
common_valid_points,ecco_areaavg,model,RF model,1979,0.05214663435017982,0.027597740421032326,0.0017027631310346577,0.8590110207713875
common_valid_points,ecco_areaavg,ecco_areaavg,ECCO area-average,1979,0.1712131641858255,0.12294225282206274,-0.005615178304984825,-0.5198716227443319
grid_aggregated_0.5deg,ecco_areaavg,model,RF model,240,0.03269915027033489,0.014199611204245906,0.0037513765569823295,0.9335887636884075
grid_aggregated_0.5deg,ecco_areaavg,ecco_areaavg,ECCO area-average,240,0.1728769805847822,0.1238464873066141,-0.04244601054589401,-0.8562777893950622
